,suburb,rented_price_2017,rented_price,rented_price_2019,rented_price_2020,rented_price_2021,rented_price_2022,rented_price_2023,rented_price_2024,pred_2025,pred_2026,pred_2027,model,confidence
3129,Craigieburn,380.7020872865275,401.16079494128275,407.26961602671116,414.86119873817034,421.70428280081575,450.49781976744185,505.0263381478335,541.0331950207469,549.9619217711348,574.3065353492399,598.8154537062685,combine,high
3130,Cranbourne,347.90212071778143,360.78625954198475,355.86728971962617,367.0423076923077,391.4714285714286,417.23640167364016,489.95544554455444,547.4040404040404,650.6321264497658,721.3603603356441,792.1629776761827,combine,high
3131,Cranbourne East,397.2535211267606,399.10714285714283,396.8888888888889,403.3636363636364,451.5925925925926,455.0,631.5454545454545,510.0,745.6492929355808,813.7757499232611,875.4120777173447,combine,low
3132,Cranbourne North,362.2368421052632,359.14473684210526,361.34615384615387,388.9655172413793,385.0,383.125,520.7142857142857,491.0,634.6641933457537,698.5096978843322,744.8146544164593,combine,low
3133,Cranbourne South,652.5,573.3333333333334,573.875,498.46153846153845,505.0,557.0,556.7857142857143,610.0,547.376137254312,549.8370946648245,554.649623959547,combine,low
3134,Cranbourne West,380.5217391304348,379.9789227166276,383.57073170731707,401.2462311557789,412.25748502994014,443.96946564885496,507.39043824701196,535.8053691275168,416.0918095668305,415.2429233956874,414.1830994475005,combine,high
3135,Cremorne (Vic.),583.3636363636364,550.0,632.8214285714286,605.5185185185185,649.5454545454545,532.2222222222222,677.5,727.1428571428571,689.5831763566484,710.6255529528919,730.7965073245591,combine,low
3136,Creswick,293.75,286.25,351.9047619047619,347.72727272727275,351.17021276595744,376.42857142857144,406.42857142857144,418.0,419.7384878179813,429.8822703457012,440.85082449405616,combine,low
3137,Crossley,310.0,,500.0,,,440.0,,,440.0,440.0,440.0,combine,low
3138,Crowlands,330.0,,350.0,,,,430.0,,430.0,430.0,430.0,combine,low
3139,Croydon (Vic.),370.0,335.0,,410.0,420.0,513.3333333333334,570.0,,-4020.582733712577,-5261.993537384568,-6460.233699060617,combine,low
3140,Croydon Hills,498.6607142857143,512.3728813559322,536.0227272727273,548.780487804878,561.8421052631579,620.8490566037735,706.9230769230769,723.6842105263158,816.6004863179779,870.9299396378075,924.6933712075544,combine,low
3141,Croydon North,471.0,475.8666666666667,487.25,504.3382352941176,526.2676056338029,578.5416666666666,601.9444444444445,644.7,525.8158156289842,480.67761055869545,436.0589370478132,combine,high
3142,Croydon South,431.7826086956522,435.6060606060606,438.35820895522386,468.2,506.72093023255815,516.8333333333334,548.952380952381,628.8,605.9506886467304,620.0502249758024,633.3233576026776,combine,high
3143,Curdievale,240.0,240.0,,380.0,180.0,,,,180.0,180.0,180.0,combine,low
3144,Curlewis (Vic.),384.4186046511628,410.3398058252427,410.5327868852459,412.9320987654321,444.1089108910891,453.55670103092785,521.7222222222222,538.8461538461538,1350.725900096356,1982.421648047325,2714.186748605279,combine,high
3145,Dales Creek,295.0,,,,410.0,500.0,,587.5,359.0049684702733,342.32699681944064,325.58583657615554,combine,low
3146,Dallas,332.9,344.6621621621622,349.6470588235294,350.253164556962,352.4117647058824,372.09183673469386,406.75555555555553,426.34615384615387,396.0888878597017,413.3869242690377,432.7643240060894,combine,high
3147,Dalyston,283.0952380952381,270.4166666666667,273.0,332.22222222222223,474.8,499.0,418.57142857142856,465.90909090909093,492.258083587552,494.8738255573303,497.5226735948386,combine,low
3148,Dandenong,354.57575757575756,363.7688888888889,365.8611825192802,376.9311163895487,405.99282296650716,429.96505376344084,524.4975845410628,507.60115606936415,578.0837781026096,601.939882364921,624.9277086330005,combine,high
3149,Dandenong North,373.2577639751553,386.0594315245478,391.3076923076923,388.0372492836676,421.1469740634006,474.4313725490196,543.6381909547739,488.36,568.2915291417113,580.9088895532797,591.5162368734974,combine,high
3150,Dandenong South,420.0,380.0,396.6666666666667,455.0,470.0,493.0,600.0,525.0,377.1611343876327,345.7050055697402,312.74307142850665,combine,low
3151,Darley,337.63157894736844,348.05555555555554,345.72641509433964,378.57758620689657,418.0078125,433.05263157894734,459.4396551724138,466.64285714285717,422.713306421598,420.4055282914794,417.0300083912096,combine,high
3152,Darnum,318.0,345.0,,368.3333333333333,380.0,365.0,415.0,313.75,15997.780994005325,21043.359816762324,26212.125542745776,combine,low
3153,Darraweit Guim,285.0,350.0,350.0,320.0,310.0,,,850.0,310.0,310.0,310.0,combine,low
3154,Dartmoor (Vic.),170.0,190.0,,,,,,,,,,combine,
3155,Daylesford,361.5131578947368,371.1940298507463,384.5238095238095,396.5,429.30555555555554,473.75,455.3636363636364,566.3095238095239,503.6807923650018,513.7813313425305,524.1767410011372,combine,low
3156,Deans Marsh,370.0,360.0,,,,,,,,,,combine,
3157,Deepdene (Vic.),601.5909090909091,582.8846153846154,548.75,480.75,590.8333333333334,550.0,599.047619047619,810.0,314.9930398732864,228.4225033260656,144.3124631845202,combine,low
3158,Deer Park,380.0,,557.5,445.0,430.0,,,,398.16822825450686,398.16822825450686,398.16822825450686,combine,low
3159,Delacombe,327.65432098765433,339.71830985915494,360.1515151515151,362.17857142857144,400.27777777777777,398.44262295081967,425.42857142857144,442.0,271.98027983994683,324.2343826476094,410.3275858920615,combine,high
3160,Delahey,354.05882352941177,374.5744680851064,373.5729166666667,384.9382716049383,390.50515463917526,393.52941176470586,438.2236842105263,466.71875,435.631719476649,439.0475558599438,441.70267901810007,combine,high
3161,Dennington,373.75,381.0,386.6666666666667,395.0,488.52941176470586,455.45454545454544,518.3333333333334,520.5555555555555,502.84614294007577,508.7421189973087,514.4977400174811,combine,low
3162,Denver,530.0,,,,,,,,,,,combine,
3163,Derrimut,412.07964601769913,421.6666666666667,446.8478260869565,441.6818181818182,461.8333333333333,464.07954545454544,501.11290322580646,534.375,495.7063194982025,508.2815805381297,520.5414019288824,combine,high
3164,Derrinallum,212.5,,,240.0,340.0,,,360.0,340.0,340.0,340.0,combine,low
3165,Devenish,280.0,242.5,233.33333333333334,210.0,,,375.0,385.0,375.0,375.0,375.0,combine,low
