,suburb,rented_price_2017,rented_price,rented_price_2019,rented_price_2020,rented_price_2021,rented_price_2022,rented_price_2023,rented_price_2024,pred_2025,pred_2026,pred_2027,model,confidence
2835,Hawthorn (Vic.),464.3333333333333,405.35714285714283,455.7,428.0357142857143,332.7142857142857,385.2173913043478,485.27777777777777,477.0,548.4931632947562,571.0870360412225,592.3382626232936,combine,low
2836,Hawthorn East,448.04794520547944,458.55480378890394,454.4489247311828,439.069330199765,405.6179295624333,433.3589189189189,506.3575667655786,561.5521126760564,519.12098859868,529.668132452656,539.6522236457483,combine,high
2837,Hazelwood South,629.0,,,,,,460.0,,460.0,460.0,460.0,combine,low
2838,Healesville,334.7241379310345,354.5,353.47222222222223,379.1860465116279,374.0625,438.05555555555554,513.3823529411765,493.8636363636364,340.2202123832432,328.75953294664936,317.0187462113226,combine,low
2839,Heathcote (Vic.),283.94736842105266,312.5,299.86486486486484,355.43333333333334,330.0,317.6470588235294,403.9024390243902,408.3333333333333,383.4615701759286,385.3368382644504,386.5882438474889,combine,low
2840,Heatherton,432.6388888888889,413.46153846153845,441.7037037037037,456.15384615384613,415.16129032258067,433.0,543.0,556.5384615384615,424.1449209409528,439.8310925956556,456.44671470681146,combine,low
2841,Heathmont,376.39130434782606,382.9878048780488,406.1111111111111,421.46153846153845,423.73493975903614,448.48214285714283,505.76576576576576,528.3695652173913,598.4450963929615,651.4869044226565,706.4796543220767,combine,high
2842,Heidelberg,430.0,450.0,375.0,,450.0,478.75,585.0,670.0,587.2718272896306,610.1815096655379,630.429046249422,combine,low
2843,Heidelberg Heights,394.734375,397.9623655913978,406.14285714285717,411.30232558139534,428.92344497607655,443.5683760683761,502.4222222222222,546.2234042553191,480.0754248280766,491.0235197046575,501.6651091598835,combine,high
2844,Heidelberg West,390.0,270.0,425.0,500.0,305.0,500.0,,410.0,-115.61318988598964,-117.88881947661616,-120.65319476837068,combine,low
2845,Hepburn,359.2857142857143,343.3333333333333,323.3333333333333,319.44444444444446,350.0,419.0,480.38461538461536,430.0,434.9069860475436,444.3511696962073,454.5732884378308,combine,low
2846,Hepburn Springs,353.1818181818182,335.625,319.375,331.1111111111111,322.14285714285717,426.875,476.25,427.0,435.6006459795158,453.5803339646068,465.7770857848286,combine,low
2847,Herne Hill (Vic.),262.08053691275165,251.9291338582677,274.49074074074076,284.45255474452557,312.13675213675214,345.24793388429754,391.6929133858268,392.63529411764705,358.1248809380055,361.0737143654402,364.24945138768055,combine,high
2848,Heywood,198.57142857142858,280.0,238.23529411764707,225.0,290.0,237.0,325.0,277.5,164.34076294604287,146.8676107551222,127.86334490761725,combine,low
2849,Highett,445.0,383.3333333333333,530.0,352.5,477.5,436.6666666666667,771.6666666666666,575.0,568.5072531543303,577.437802366481,585.9025725076601,combine,low
2850,Highton,334.32971014492756,342.0390070921986,349.3233082706767,356.30281690140845,387.4758064516129,411.93465909090907,442.74652777777777,475.71794871794873,421.2137300651768,431.23393999173305,439.97974778141935,combine,high
2851,Hopetoun (Vic.),180.0,190.0,,211.66666666666666,300.8333333333333,270.0,240.0,236.33333333333334,247.18832024070016,241.56198652580625,234.52865438406425,combine,low
