suburb,r2_0r,r2_lr,r2_rf,r2_combine,type,confidence
Eumemmerring,0.5968126880668443,0.5968126880668443,0.4621475277292145,0.6122536687862175,Unit,high
Waurn Ponds,-0.0583185163397268,-0.0583185163397268,0.6967842982533332,0.4213586748465224,Unit,high
Ivanhoe East,0.3437831524571713,0.3437831524571713,0.5732187720166917,0.4747085822367608,Unit,high
Brown Hill (Vic.),-0.0261370244694312,-0.0261370244694312,0.6258913237932378,0.3685269636035271,Unit,high
Sunshine North,0.1381569830169298,0.1381569830169298,0.2346328020524019,0.5503774309777102,Unit,high
Redan,0.5695281141845775,0.5695281141845775,0.4078752329050058,0.5400421329380101,Unit,high
Eltham (Vic.),0.5491249463040725,0.5491249463040725,0.5160103865839287,0.5546772012066327,Unit,high
Chelsea,-0.0329417023875229,-0.0329417023875229,0.4672996580291212,0.2591812721974089,Unit,high
Kilsyth,0.513396772780619,0.513396772780619,0.1537134507300935,0.4549093838469427,Unit,high
Doreen,0.2364589358600892,0.2364589358600892,-0.4064659315777978,0.0086957079131552,Unit,high
Lyndhurst (Vic.),0.3622229084523251,0.3622229084523251,-0.0225774670616283,0.2045668932797369,Unit,high
Colac,0.6563560633702272,0.6563560633702272,0.2979931924221184,0.5527412168209382,Unit,high
Maddingley,0.4425667247117765,0.4425667247117765,-0.377338962979423,0.1920597474817019,Unit,high
Hallam,-1.556100799773152,-1.556100799773152,0.3557791953199742,0.0909599398869943,Unit,high
Newborough,-1.3916082985372094,-1.3916082985372094,0.3611622980672123,0.2790717136195481,Unit,high
Leongatha,-0.1618802987377807,-0.1618802987377807,0.2014158412465004,0.0647491481994115,Unit,high
Delacombe,0.3434866084743158,0.3434866084743158,0.6471538142819799,0.5438268993079163,Unit,high
Beaumaris (Vic.),0.0221418685826412,0.0221418685826412,-0.0718482134436726,0.1147228967346234,Unit,high
Montmorency,0.1611889427908982,0.1611889427908982,0.3386054954885721,0.2663305751540757,Unit,high
Mont Albert,0.612685676589419,0.612685676589419,0.5000428866813349,0.6805499665219281,Unit,high
Cobram,0.6490238754130941,0.6490238754130941,0.7303721292978111,0.7800277948603842,Unit,high
Thomson (Greater Geelong - Vic.),-0.4824623867117841,-0.4824623867117841,0.6695319430084982,0.5714867642126806,Unit,high
South Kingsville,0.7332965122422899,0.7332965122422899,0.6493949793176124,0.7184057506536539,Unit,high
Roxburgh Park,0.5469508894873456,0.5469508894873456,0.1164494184496347,0.4687458887276345,Unit,high
Paynesville (Vic.),0.4700499526258833,0.4700499526258833,0.648701429984548,0.6429874501210933,Unit,high
Ballarat North,0.6874927708323555,0.6874927708323555,0.5927204864772876,0.6913024234528189,Unit,high
Frankston South,0.4015693867271327,0.4015693867271327,0.3697743441120721,0.4058682165592224,Unit,high
Portarlington,0.5286711550278054,0.5286711550278054,0.2282212936661796,0.5878573558302828,Unit,high
